"County","FIPS","Year","Measure Type","Variable","Value"
"Fairfield County","09001","2012","Number","Housing Permits",2138
"Fairfield County","09001","2012","Percent","Housing Permits",45.8
"Fairfield County","09001","2013","Number","Housing Permits",2501
"Fairfield County","09001","2013","Percent","Housing Permits",46.1
"Fairfield County","09001","2014","Number","Housing Permits",1889
"Fairfield County","09001","2014","Percent","Housing Permits",35.4
"Fairfield County","09001","2015","Number","Housing Permits",2598
"Fairfield County","09001","2015","Percent","Housing Permits",42.8
"Fairfield County","09001","2016","Number","Housing Permits",1903
"Fairfield County","09001","2016","Percent","Housing Permits",34.6
"Fairfield County","09001","2017","Number","Housing Permits",1719
"Fairfield County","09001","2017","Percent","Housing Permits",37.8
"Hartford County","09003","1990","Number","Housing Permits",1703
"Hartford County","09003","1990","Percent","Housing Permits",21.1
"Hartford County","09003","1991","Number","Housing Permits",1536
"Hartford County","09003","1991","Percent","Housing Permits",19.9
"Hartford County","09003","1992","Number","Housing Permits",2009
"Hartford County","09003","1992","Percent","Housing Permits",24.3
"Hartford County","09003","1993","Number","Housing Permits",1825
"Hartford County","09003","1993","Percent","Housing Permits",20.3
"Hartford County","09003","1994","Number","Housing Permits",1811
"Hartford County","09003","1994","Percent","Housing Permits",19.1
"Hartford County","09003","1995","Number","Housing Permits",1487
"Hartford County","09003","1995","Percent","Housing Permits",17.8
"Hartford County","09003","1996","Number","Housing Permits",1818
"Hartford County","09003","1996","Percent","Housing Permits",23.3
"Hartford County","09003","1997","Number","Housing Permits",2246
"Hartford County","09003","1997","Percent","Housing Permits",24
"Hartford County","09003","1998","Number","Housing Permits",2790
"Hartford County","09003","1998","Percent","Housing Permits",23.5
"Hartford County","09003","1999","Number","Housing Permits",2182
"Hartford County","09003","1999","Percent","Housing Permits",20.5
"Hartford County","09003","2000","Number","Housing Permits",1705
"Hartford County","09003","2000","Percent","Housing Permits",18.2
"Hartford County","09003","2001","Number","Housing Permits",2026
"Hartford County","09003","2001","Percent","Housing Permits",21.8
"Hartford County","09003","2002","Number","Housing Permits",2284
"Hartford County","09003","2002","Percent","Housing Permits",23.5
"Hartford County","09003","2003","Number","Housing Permits",2585
"Hartford County","09003","2003","Percent","Housing Permits",24.8
"Hartford County","09003","2004","Number","Housing Permits",2389
"Hartford County","09003","2004","Percent","Housing Permits",20.2
"Hartford County","09003","2005","Number","Housing Permits",2487
"Hartford County","09003","2005","Percent","Housing Permits",20.9
"Hartford County","09003","2006","Number","Housing Permits",2305
"Hartford County","09003","2006","Percent","Housing Permits",25
"Hartford County","09003","2007","Number","Housing Permits",1711
"Hartford County","09003","2007","Percent","Housing Permits",22.1
"Hartford County","09003","2008","Number","Housing Permits",1039
"Hartford County","09003","2008","Percent","Housing Permits",19.9
